learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,R2,MAE
0.01,100,5,5,1.0,1.0,0.5,0,0,0.4956974826258034,3.019955586508678
0.05,100,5,1,0.5,0.7,0.5,0,0,0.9905886460784573,0.19365126564730686
0.01,200,10,5,1.0,0.5,0.0,1,1,0.934525642427959,1.036125131929833
0.1,200,7,1,1.0,0.5,0.1,10,0.1,0.9908027003797074,0.21619366093055664
0.05,200,3,10,1.0,1.0,0.1,0,0,0.9912616165315215,0.22132977385608357
0.01,500,5,1,0.5,0.7,0.1,1,0,0.9900159894575541,0.20331494132837075
0.1,100,7,5,0.7,0.7,0.0,10,1,0.9917366045329212,0.2087147359928924
0.05,100,10,1,1.0,1.0,0.1,1,0,0.9876463798201481,0.208108958433442
0.01,200,5,10,0.7,0.5,0.5,0,0,0.9300996314470306,1.0635643869975202
0.1,100,5,5,1.0,0.7,0.5,0,0,0.9895412755023048,0.22655595786008567
0.05,200,7,1,0.7,0.5,0.1,10,1,0.9904502715396751,0.21663908898917902
0.05,100,7,5,1.0,1.0,0.1,0,0.1,0.9911261395890969,0.1824155772162329
0.1,100,10,5,1.0,0.7,0.1,1,0,0.9887640354601338,0.2526844925545191
0.1,100,7,10,1.0,0.7,0.0,1,1,0.9905795220965056,0.2200288422406715
0.05,500,5,10,0.5,0.7,0.5,1,0.1,0.9904340753659584,0.23524959344091378
0.1,500,7,1,0.5,0.5,0.5,10,0,0.9909992508885556,0.23897918764144813
0.05,500,7,10,1.0,0.5,0.0,0,0.1,0.9911593468523615,0.22708716426957995
0.01,200,10,1,0.7,0.5,0.0,1,0.1,0.9337493031083615,1.0430317480078801
0.01,100,3,1,1.0,1.0,0.5,1,0,0.4409295589433545,3.1480684867998154
0.1,100,7,1,0.5,0.5,0.0,1,0,0.9914712132849072,0.20406625551924318
0.1,200,5,10,0.7,0.5,0.1,0,1,0.9911454324672958,0.19129917487941608
0.1,200,3,10,1.0,0.5,0.1,0,0,0.9917197006291129,0.1994636872394729
0.01,100,7,5,0.5,0.5,0.5,1,1,0.49788450178902577,3.0297351149527145
0.01,500,3,1,0.5,1.0,0.0,0,1,0.9857939101077443,0.3451394641603123
0.01,200,7,1,1.0,1.0,0.1,1,0.1,0.9349761095305156,1.043257772560479
0.1,100,5,5,1.0,1.0,0.0,1,0,0.9903569993013713,0.2424134204867775
0.01,500,7,1,0.5,0.5,0.5,10,1,0.9909113887129678,0.17824727456304054
0.1,500,10,5,1.0,0.5,0.5,10,1,0.9896066823229811,0.20902933216990408
0.1,500,5,5,1.0,1.0,0.5,10,0,0.9910283675425235,0.24570422372848075
0.05,500,5,10,0.5,1.0,0.0,10,0.1,0.9900142107722626,0.246782057181848
0.01,100,10,10,1.0,1.0,0.5,1,0.1,0.5041145177437474,2.994305052995027
0.01,200,10,10,1.0,1.0,0.0,10,0.1,0.9344981803205094,1.0344231968454043
0.1,500,10,1,1.0,0.5,0.0,0,1,0.9907469475813924,0.20504189138511864
0.1,200,5,1,0.5,1.0,0.5,0,0.1,0.9900023401087231,0.24733634274877575
0.01,200,3,10,0.5,0.5,0.0,0,0,0.898824186535326,1.2566099596653744
0.05,100,7,10,1.0,1.0,0.0,0,0,0.9911795213640632,0.18759520376331507
0.01,100,3,5,1.0,0.5,0.1,10,0,0.4229505092766188,3.2159098388550738
0.01,500,7,5,0.5,1.0,0.1,0,0.1,0.990484133885961,0.19133421106943496
0.05,200,10,10,0.5,0.5,0.0,0,0.1,0.9887253854118895,0.24018227100708275
0.01,500,10,1,0.7,1.0,0.5,10,0,0.9886254490551503,0.19189982605252415
0.05,200,5,1,0.7,0.5,0.0,10,1,0.9912524627734259,0.22750784226372547
0.01,100,5,10,1.0,1.0,0.0,0,0.1,0.4955314568212785,3.0209796213188613
0.1,500,7,10,0.5,0.7,0.0,0,0,0.9918127110718453,0.19092445220157092
0.01,500,7,5,0.7,0.5,0.1,0,1,0.9911011619389145,0.17792190235118374
0.05,100,3,1,1.0,0.5,0.1,0,0,0.9873730548457152,0.3240726771541505
0.01,100,3,5,0.5,0.7,0.0,0,0.1,0.4365214864196427,3.169233729921781
0.1,100,10,10,0.5,0.7,0.1,1,0,0.9897591681151606,0.23228231475324596
0.05,500,5,5,0.5,1.0,0.1,10,0.1,0.9896403151085423,0.24912354219275262
0.05,100,10,10,0.7,0.7,0.0,10,0.1,0.9901727967201535,0.18199099651983816
0.01,200,3,1,1.0,0.7,0.0,10,0.1,0.9028852186829046,1.2199443060532604
0.05,100,10,5,0.7,0.7,0.0,10,1,0.9905961155888283,0.17546930226925977
0.05,200,7,1,1.0,0.7,0.0,0,1,0.9909103807989285,0.21481544508428654
0.1,100,7,10,0.5,0.5,0.5,0,0.1,0.9905405426811971,0.20469551684636667
0.05,200,7,1,0.5,0.7,0.0,0,0,0.9914312067022116,0.2180269433447846
0.1,100,5,5,0.5,0.7,0.0,0,0,0.990883283942641,0.24603960207039796
0.01,100,7,5,1.0,1.0,0.5,0,0,0.5007444835028252,3.014903718241849
0.1,100,7,10,1.0,0.5,0.0,0,1,0.9917309581952615,0.20839896174239209
0.01,100,3,5,0.7,1.0,0.5,10,0.1,0.44125289983929716,3.1480135274728274
0.1,100,7,10,0.7,1.0,0.5,0,1,0.9898773487969715,0.2401725916527728
0.1,100,5,1,1.0,1.0,0.1,0,1,0.9904778510182647,0.24597469180296685
